Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
36,Monday May 5,boxscore,CHC,,SFG,W,9,2,,22-14,1,up 4.0,Boyd,Roupp,,2:23,N,36834,1.28,+,
37,Tuesday May 6,boxscore,CHC,,SFG,L,5,14,11,22-15,1,up 3.0,Miller,Pressly,,3:25,N,37303,1.27,-,
38,Wednesday May 7,boxscore,CHC,,SFG,L,1,3,,22-16,1,up 3.0,Ray,Brown,Walker,2:40,D,31889,1.26,--,
39,Friday May 9,boxscore,CHC,@,NYM,L,2,7,,22-17,1,up 2.0,Holmes,Taillon,,2:49,N,41243,1.25,---,
40,Saturday May 10,boxscore,CHC,@,NYM,W,6,5,,23-17,1,up 2.0,Horton,Megill,Hodge,2:56,N,41423,1.25,+,
41,Sunday May 11,boxscore,CHC,@,NYM,L,2,6,,23-18,1,up 1.0,Stanek,Hodge,,2:40,D,41673,1.28,-,
42,Monday May 12,boxscore,CHC,,MIA,W,5,2,,24-18,1,up 1.0,Rea,Quantrill,Pomeranz,2:36,N,32271,1.18,+,
43,Tuesday May 13,boxscore,CHC,,MIA,W-wo,5,4,,25-18,1,up 1.5,Flexen,Tinoco,,2:42,N,38083,1.13,++,
44,Wednesday May 14,boxscore,CHC,,MIA,L,1,3,,25-19,1,up 1.0,Weathers,Taillon,Tinoco,2:11,N,34167,1.19,-,
45,Friday May 16,boxscore,CHC,,CHW,W,13,3,,26-19,1,up 1.0,Horton,Smith,,2:52,D,40171,1.16,+,
46,Saturday May 17,boxscore,CHC,,CHW,W,7,3,,27-19,1,up 1.0,Boyd,Burke,,2:51,D,40134,1.16,++,
47,Sunday May 18,boxscore,CHC,,CHW,W,6,2,,28-19,1,up 2.0,Pomeranz,Cannon,,2:38,D,40152,1.22,+++,
48,Monday May 19,preview,CHC,@,MIA,6:40 PM,6:40 PM,6:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
49,Tuesday May 20,preview,CHC,@,MIA,6:40 PM,6:40 PM,6:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
50,Wednesday May 21,preview,CHC,@,MIA,1:10 PM,1:10 PM,1:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
51,Friday May 23,preview,CHC,@,CIN,6:40 PM,6:40 PM,6:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
52,Saturday May 24,preview,CHC,@,CIN,4:10 PM,4:10 PM,4:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
53,Sunday May 25,preview,CHC,@,CIN,1:40 PM,1:40 PM,1:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
54,Monday May 26,preview,CHC,,COL,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
55,Tuesday May 27,preview,CHC,,COL,8:05 PM,8:05 PM,8:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
56,Wednesday May 28,preview,CHC,,COL,8:05 PM,8:05 PM,8:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
57,Friday May 30,preview,CHC,,CIN,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
58,Saturday May 31,preview,CHC,,CIN,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
59,Sunday Jun 1,preview,CHC,,CIN,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
60,Tuesday Jun 3,preview,CHC,@,WSN,6:45 PM,6:45 PM,6:45 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
61,Wednesday Jun 4,preview,CHC,@,WSN,6:45 PM,6:45 PM,6:45 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
62,Thursday Jun 5,preview,CHC,@,WSN,6:45 PM,6:45 PM,6:45 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
63,Friday Jun 6,preview,CHC,@,DET,7:10 PM,7:10 PM,7:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
64,Saturday Jun 7,preview,CHC,@,DET,1:10 PM,1:10 PM,1:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
65,Sunday Jun 8,preview,CHC,@,DET,1:40 PM,1:40 PM,1:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
66,Monday Jun 9,preview,CHC,@,PHI,6:45 PM,6:45 PM,6:45 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
67,Tuesday Jun 10,preview,CHC,@,PHI,6:45 PM,6:45 PM,6:45 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
68,Wednesday Jun 11,preview,CHC,@,PHI,1:05 PM,1:05 PM,1:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
69,Thursday Jun 12,preview,CHC,,PIT,8:05 PM,8:05 PM,8:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
70,Friday Jun 13,preview,CHC,,PIT,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
71,Saturday Jun 14,preview,CHC,,PIT,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
72,Sunday Jun 15,preview,CHC,,PIT,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
73,Tuesday Jun 17,preview,CHC,,MIL,8:05 PM,8:05 PM,8:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
74,Wednesday Jun 18,preview,CHC,,MIL,8:05 PM,8:05 PM,8:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
75,Thursday Jun 19,preview,CHC,,MIL,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
76,Friday Jun 20,preview,CHC,,SEA,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
77,Saturday Jun 21,preview,CHC,,SEA,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
78,Sunday Jun 22,preview,CHC,,SEA,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
79,Monday Jun 23,preview,CHC,@,STL,7:45 PM,7:45 PM,7:45 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
80,Tuesday Jun 24,preview,CHC,@,STL,7:45 PM,7:45 PM,7:45 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
81,Wednesday Jun 25,preview,CHC,@,STL,7:45 PM,7:45 PM,7:45 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
82,Thursday Jun 26,preview,CHC,@,STL,2:15 PM,2:15 PM,2:15 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
