Rk,Player,Handedness,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,lgRF9,RF/G,lgRFG,PB,WP,SB,CS,CS%,Pick,Pos,Awards,-9999,EligiblePositions,PositionFlexibility,IsP,IsC,Is1B,Is2B,Is3B,IsSS,IsLF,IsCF,IsRF,IsOF,IsDH,IsUT
11,Andrew Benintendi,R,30,18,17,16,144.2,45,43,0,2,0,.956,1,12,0,0,2.68,2.29,2.39,2.25,,,,,,,7/DH,,beninan01,"LF,DH,UT",3,0,0,0,0,0,0,1,0,0,0,1,1
12,Edgar Quero,R,22,18,16,16,139.2,132,126,5,1,0,.992,0,1,-3,-26,8.44,9.00,7.28,8.84,0,7,18,6,25.0,0,2/DH,,queroed01,"C,DH,UT",3,0,1,0,0,0,0,0,0,0,0,1,1
13,Josh Rojas,R,31,10,9,5,77.1,39,19,19,1,3,.974,1,22,0,0,4.42,2.97,2.71,2.84,,,,,,,/547H,,rojasjo01,"3B,2B,LF,UT",4,0,0,0,1,1,0,1,0,0,0,0,1
14,Jonathan Cannon,R,24,9,7,0,50.0,9,3,6,0,1,1.000,,,0,0,1.62,1.30,1.00,1.28,,,,,,,/1,,cannojo02,P,1,1,0,0,0,0,0,0,0,0,0,0,0
15,Davis Martin,R,28,9,8,0,49.1,5,4,1,0,1,1.000,,,-1,-4,0.91,1.30,0.56,1.28,,,,,,,/1,,martida03,P,1,1,0,0,0,0,0,0,0,0,0,0,0
16,Shane Smith,R,25,9,9,0,48.1,4,2,2,0,0,1.000,,,1,4,0.74,1.30,0.44,1.28,,,,,,,/1,,smithsh02,P,1,1,0,0,0,0,0,0,0,0,0,0,0
17,Sean Burke,R,25,10,9,0,48.0,14,2,11,1,0,.929,,,4,17,2.44,1.29,1.30,1.28,,,,,,,1,,burkese01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
18,Bobby Dalbec,R,30,7,4,2,39.0,20,15,5,0,1,1.000,0,12,0,0,4.62,5.70,2.22,5.91,,,,,,,/36H5,,dalbebo01,"1B,SS,UT,3B",4,0,0,1,0,1,1,0,0,0,0,0,1
19,Travis Jankowski,R,34,6,4,2,37.0,9,9,0,0,0,1.000,1,46,-1,-32,2.19,2.29,1.50,2.25,,,,,,,/9H8,,jankotr01,"RF,UT,CF",3,0,0,0,0,0,0,0,1,1,0,0,1
20,Bryse Wilson,R,27,14,4,0,33.0,5,0,2,3,0,.400,,,-2,-12,0.55,1.31,0.14,1.28,,,,,,,1,,wilsobr02,P,1,1,0,0,0,0,0,0,0,0,0,0,0
21,Korey Lee,R,26,6,4,2,32.0,34,34,0,0,0,1.000,0,11,0,0,9.56,9.00,5.67,8.83,0,1,2,1,33.3,0,/2HD,,leeko01,"C,UT,DH",3,0,1,0,0,0,0,0,0,0,0,1,1
22,Tim Elko,R,26,4,3,3,29.0,20,20,0,0,2,1.000,0,4,0,0,6.21,8.10,5.00,7.95,,,,,,,/3D,,elkoti01,"1B,DH",2,0,0,1,0,0,0,0,0,0,0,1,0
23,Nick Maton,R,28,8,2,1,28.0,27,20,6,1,2,.963,-1,-30,0,0,8.36,7.07,3.25,6.04,,,,,,,D/H3479,,matonni01,"DH,UT,1B,2B,LF,RF",6,0,0,1,1,0,0,1,0,1,0,1,1
24,Mike Vasil,R,25,14,0,0,27.1,4,0,4,0,1,1.000,,,-2,-15,1.32,1.28,0.29,1.28,,,,,,,1,,vasilmi01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
25,Austin Slater,R,32,5,3,1,27.0,7,7,0,0,0,1.000,-2,-86,0,0,2.33,2.30,1.40,2.26,,,,,,,/9HD,,slateau01,"RF,UT,DH",3,0,0,0,0,0,0,0,0,1,0,1,1
26,Omar Narváez,R,33,4,3,2,26.0,28,27,0,1,0,.964,-1,-60,-1,-46,9.35,9.00,6.75,8.85,0,1,6,0,0.0,0,/2,,narvaom01,C,1,0,1,0,0,0,0,0,0,0,0,0,0
27,Mike Tauchman,R,34,3,3,3,24.1,6,6,0,0,0,1.000,1,71,1,49,2.22,2.29,2.00,2.27,,,,,,,/9,,tauchmi01,RF,1,0,0,0,0,0,0,0,0,1,0,0,0
28,Martín Pérez,R,34,4,4,0,20.0,1,0,1,0,0,1.000,,,0,0,0.45,1.31,0.25,1.28,,,,,,,/1,,perezma02,P,1,1,0,0,0,0,0,0,0,0,0,0,0
29,Brandon Eisert,R,27,18,2,0,18.1,3,0,3,0,0,1.000,,,0,0,1.47,1.28,0.17,1.28,,,,,,,1,,eiserbr01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
30,Cam Booser,R,33,19,0,0,16.1,0,0,0,0,0,,,,0,0,0.00,1.32,0.00,1.28,,,,,,,1,,booseca01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
31,Jordan Leasure,R,26,19,0,0,15.1,2,0,2,0,0,1.000,,,0,0,1.17,1.29,0.11,1.28,,,,,,,1,,leasujo01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
32,Tyler Gilbert,R,31,13,3,0,13.0,2,1,1,0,0,1.000,,,-1,-15,1.38,1.32,0.15,1.28,,,,,,,1,,gilbety01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
33,Penn Murfee,R,31,15,0,0,12.2,1,0,1,0,0,1.000,,,0,0,0.71,1.28,0.07,1.28,,,,,,,1,,murfepe01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
34,Steven Wilson,R,30,12,0,0,12.1,0,0,0,0,0,,,,0,0,0.00,1.31,0.00,1.28,,,,,,,1,,wilsost02,P,1,1,0,0,0,0,0,0,0,0,0,0,0
35,Jared Shuster,R,26,9,0,0,11.1,1,0,1,0,0,1.000,,,0,0,0.79,1.27,0.11,1.28,,,,,,,/1,,shustja01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
36,Gage Workman,R,25,3,1,0,9.0,5,3,1,1,1,.800,-1,-127,-1,-133,4.00,2.70,1.33,2.83,,,,,,,/56H,,workmga01,"3B,SS,UT",3,0,0,0,0,1,1,0,0,0,0,0,1
37,Fraser Ellard,R,27,7,0,0,6.2,1,0,1,0,0,1.000,,,0,0,1.35,1.35,0.14,1.29,,,,,,,/1,,ellarfr01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
38,Mike Clevinger,R,34,8,0,0,5.2,3,2,1,0,0,1.000,,,0,0,4.76,1.27,0.38,1.28,,,,,,,/1,,clevimi01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
39,Caleb Freeman,R,27,4,0,0,2.1,0,0,0,0,0,,,,0,0,0.00,1.16,0.00,1.28,,,,,,,/1,,freemca01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
40,Greg Jones,R,27,1,0,0,2.0,2,2,0,0,0,1.000,0,120,0,0,9.00,2.25,2.00,2.30,,,,,,,/H9,,jonesgr02,"UT,RF",2,0,0,0,0,0,0,0,0,1,0,0,1
41,Yoendrys Gómez,R,25,2,0,0,2.0,1,1,0,0,0,1.000,,,0,0,4.50,1.35,0.50,1.30,,,,,,,/1,,gomezyo01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
42,Miguel Castro,R,30,1,0,0,1.1,0,0,0,0,0,,,,0,0,0.00,1.35,0.00,1.30,,,,,,,/1,,castrmi01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
