Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
58,Saturday May 31,preview,CHW,@,BAL,4:05 PM,4:05 PM,4:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
59,Sunday Jun 1,preview,CHW,@,BAL,1:35 PM,1:35 PM,1:35 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
60,Monday Jun 2,preview,CHW,,DET,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
61,Tuesday Jun 3,preview,CHW,,DET,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
62,Wednesday Jun 4,preview,CHW,,DET,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
63,Thursday Jun 5,preview,CHW,,DET,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
64,Friday Jun 6,preview,CHW,,KCR,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
65,Saturday Jun 7,preview,CHW,,KCR,4:10 PM,4:10 PM,4:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
66,Sunday Jun 8,preview,CHW,,KCR,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
67,Tuesday Jun 10,preview,CHW,@,HOU,8:10 PM,8:10 PM,8:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
68,Wednesday Jun 11,preview,CHW,@,HOU,8:10 PM,8:10 PM,8:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
69,Thursday Jun 12,preview,CHW,@,HOU,8:10 PM,8:10 PM,8:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
70,Friday Jun 13,preview,CHW,@,TEX,8:05 PM,8:05 PM,8:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
71,Saturday Jun 14,preview,CHW,@,TEX,4:05 PM,4:05 PM,4:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
72,Sunday Jun 15,preview,CHW,@,TEX,2:35 PM,2:35 PM,2:35 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
73,Tuesday Jun 17,preview,CHW,,STL,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
74,Wednesday Jun 18,preview,CHW,,STL,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
75,Thursday Jun 19,preview,CHW,,STL,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
76,Friday Jun 20,preview,CHW,@,TOR,7:07 PM,7:07 PM,7:07 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
77,Saturday Jun 21,preview,CHW,@,TOR,3:07 PM,3:07 PM,3:07 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
78,Sunday Jun 22,preview,CHW,@,TOR,1:37 PM,1:37 PM,1:37 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
79,Monday Jun 23,preview,CHW,,ARI,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
80,Tuesday Jun 24,preview,CHW,,ARI,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
81,Wednesday Jun 25,preview,CHW,,ARI,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
82,Friday Jun 27,preview,CHW,,SFG,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
83,Saturday Jun 28,preview,CHW,,SFG,4:10 PM,4:10 PM,4:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
84,Sunday Jun 29,preview,CHW,,SFG,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
